block,combination,species,n_species,individ_transf_vol,total_transf_vol,destination_plate,destination_well
1,1,"['laji1', 'laji6']",2,60.0,120.0,Sarstedt 96 Well Plate 2200 µL on 7,A1
1,2,"['laji5', 'laji6']",2,60.0,120.0,Sarstedt 96 Well Plate 2200 µL on 7,B1
1,3,"['laji2', 'laji4']",2,60.0,120.0,Sarstedt 96 Well Plate 2200 µL on 7,C1
1,4,"['laji2', 'laji3', 'laji4']",3,40.0,120.0,Sarstedt 96 Well Plate 2200 µL on 7,D1
1,5,"['laji1', 'laji4', 'laji5', 'laji6']",4,30.0,120.0,Sarstedt 96 Well Plate 2200 µL on 7,E1
1,6,"['laji3', 'laji4', 'laji5', 'laji6']",4,30.0,120.0,Sarstedt 96 Well Plate 2200 µL on 7,F1
1,7,"['laji4', 'laji6']",2,60.0,120.0,Sarstedt 96 Well Plate 2200 µL on 7,G1
1,8,"['laji1', 'laji2', 'laji3', 'laji4', 'laji5']",5,24.0,120.0,Sarstedt 96 Well Plate 2200 µL on 7,H1
1,9,"['laji1', 'laji2', 'laji3', 'laji6']",4,30.0,120.0,Sarstedt 96 Well Plate 2200 µL on 7,A2
1,10,"['laji1', 'laji2', 'laji4', 'laji6']",4,30.0,120.0,Sarstedt 96 Well Plate 2200 µL on 7,B2
1,11,['laji1'],1,120.0,120.0,Sarstedt 96 Well Plate 2200 µL on 7,C2
1,12,"['laji1', 'laji2', 'laji3']",3,40.0,120.0,Sarstedt 96 Well Plate 2200 µL on 7,D2
1,13,['laji2'],1,120.0,120.0,Sarstedt 96 Well Plate 2200 µL on 7,E2
1,14,"['laji3', 'laji5']",2,60.0,120.0,Sarstedt 96 Well Plate 2200 µL on 7,F2
1,15,"['laji1', 'laji4']",2,60.0,120.0,Sarstedt 96 Well Plate 2200 µL on 7,G2
1,16,"['laji1', 'laji2', 'laji4']",3,40.0,120.0,Sarstedt 96 Well Plate 2200 µL on 7,H2
1,17,"['laji2', 'laji3']",2,60.0,120.0,Sarstedt 96 Well Plate 2200 µL on 7,A3
1,18,"['laji2', 'laji4', 'laji5', 'laji6']",4,30.0,120.0,Sarstedt 96 Well Plate 2200 µL on 7,B3
1,19,"['laji2', 'laji3', 'laji5', 'laji6']",4,30.0,120.0,Sarstedt 96 Well Plate 2200 µL on 7,C3
1,20,"['laji1', 'laji2', 'laji3', 'laji5']",4,30.0,120.0,Sarstedt 96 Well Plate 2200 µL on 7,D3
1,21,"['laji1', 'laji2', 'laji6']",3,40.0,120.0,Sarstedt 96 Well Plate 2200 µL on 7,E3
1,22,"['laji1', 'laji4', 'laji6']",3,40.0,120.0,Sarstedt 96 Well Plate 2200 µL on 7,F3
1,23,"['laji4', 'laji5']",2,60.0,120.0,Sarstedt 96 Well Plate 2200 µL on 7,G3
1,24,"['laji2', 'laji3', 'laji6']",3,40.0,120.0,Sarstedt 96 Well Plate 2200 µL on 7,H3
1,25,"['laji1', 'laji5', 'laji6']",3,40.0,120.0,Sarstedt 96 Well Plate 2200 µL on 7,A4
1,26,"['laji1', 'laji4', 'laji5']",3,40.0,120.0,Sarstedt 96 Well Plate 2200 µL on 7,B4
1,27,"['laji1', 'laji3', 'laji5', 'laji6']",4,30.0,120.0,Sarstedt 96 Well Plate 2200 µL on 7,C4
1,28,"['laji2', 'laji3', 'laji4', 'laji5', 'laji6']",5,24.0,120.0,Sarstedt 96 Well Plate 2200 µL on 7,D4
1,29,"['laji1', 'laji2', 'laji4', 'laji5']",4,30.0,120.0,Sarstedt 96 Well Plate 2200 µL on 7,E4
1,30,"['laji4', 'laji5', 'laji6']",3,40.0,120.0,Sarstedt 96 Well Plate 2200 µL on 7,F4
1,31,"['laji3', 'laji6']",2,60.0,120.0,Sarstedt 96 Well Plate 2200 µL on 7,G4
1,32,"['laji1', 'laji3', 'laji4', 'laji6']",4,30.0,120.0,Sarstedt 96 Well Plate 2200 µL on 7,H4
1,33,"['laji3', 'laji4', 'laji6']",3,40.0,120.0,Sarstedt 96 Well Plate 2200 µL on 7,A5
1,34,"['laji1', 'laji2', 'laji4', 'laji5', 'laji6']",5,24.0,120.0,Sarstedt 96 Well Plate 2200 µL on 7,B5
1,35,"['laji1', 'laji2', 'laji3', 'laji4', 'laji5', 'laji6']",6,20.0,120.0,Sarstedt 96 Well Plate 2200 µL on 7,C5
1,36,"['laji3', 'laji5', 'laji6']",3,40.0,120.0,Sarstedt 96 Well Plate 2200 µL on 7,D5
1,37,"['laji2', 'laji6']",2,60.0,120.0,Sarstedt 96 Well Plate 2200 µL on 7,E5
1,38,"['laji1', 'laji3']",2,60.0,120.0,Sarstedt 96 Well Plate 2200 µL on 7,F5
1,39,"['laji2', 'laji5', 'laji6']",3,40.0,120.0,Sarstedt 96 Well Plate 2200 µL on 7,G5
1,40,"['laji2', 'laji3', 'laji4', 'laji5']",4,30.0,120.0,Sarstedt 96 Well Plate 2200 µL on 7,H5
1,41,"['laji1', 'laji2', 'laji5', 'laji6']",4,30.0,120.0,Sarstedt 96 Well Plate 2200 µL on 7,A6
1,42,"['laji2', 'laji4', 'laji6']",3,40.0,120.0,Sarstedt 96 Well Plate 2200 µL on 7,B6
1,43,"['laji1', 'laji3', 'laji4', 'laji5']",4,30.0,120.0,Sarstedt 96 Well Plate 2200 µL on 7,C6
1,44,"['laji3', 'laji4']",2,60.0,120.0,Sarstedt 96 Well Plate 2200 µL on 7,D6
1,45,"['laji1', 'laji2', 'laji3', 'laji4', 'laji6']",5,24.0,120.0,Sarstedt 96 Well Plate 2200 µL on 7,E6
1,46,"['laji1', 'laji3', 'laji5']",3,40.0,120.0,Sarstedt 96 Well Plate 2200 µL on 7,F6
1,47,"['laji1', 'laji3', 'laji6']",3,40.0,120.0,Sarstedt 96 Well Plate 2200 µL on 7,G6
1,48,['laji6'],1,120.0,120.0,Sarstedt 96 Well Plate 2200 µL on 7,H6
1,49,['laji3'],1,120.0,120.0,Sarstedt 96 Well Plate 2200 µL on 7,A7
1,50,"['laji2', 'laji5']",2,60.0,120.0,Sarstedt 96 Well Plate 2200 µL on 7,B7
1,51,"['laji2', 'laji3', 'laji5']",3,40.0,120.0,Sarstedt 96 Well Plate 2200 µL on 7,C7
1,52,"['laji1', 'laji2', 'laji3', 'laji5', 'laji6']",5,24.0,120.0,Sarstedt 96 Well Plate 2200 µL on 7,D7
1,53,"['laji3', 'laji4', 'laji5']",3,40.0,120.0,Sarstedt 96 Well Plate 2200 µL on 7,E7
1,54,"['laji1', 'laji2', 'laji5']",3,40.0,120.0,Sarstedt 96 Well Plate 2200 µL on 7,F7
1,55,"['laji1', 'laji2']",2,60.0,120.0,Sarstedt 96 Well Plate 2200 µL on 7,G7
1,56,"['laji2', 'laji4', 'laji5']",3,40.0,120.0,Sarstedt 96 Well Plate 2200 µL on 7,H7
1,57,"['laji2', 'laji3', 'laji4', 'laji6']",4,30.0,120.0,Sarstedt 96 Well Plate 2200 µL on 7,A8
1,58,['laji5'],1,120.0,120.0,Sarstedt 96 Well Plate 2200 µL on 7,B8
1,59,['laji4'],1,120.0,120.0,Sarstedt 96 Well Plate 2200 µL on 7,C8
1,60,['CONTROL_BLOCK_1'],1,120.0,120.0,Sarstedt 96 Well Plate 2200 µL on 7,D8
1,61,"['laji1', 'laji3', 'laji4']",3,40.0,120.0,Sarstedt 96 Well Plate 2200 µL on 7,E8
1,62,"['laji1', 'laji5']",2,60.0,120.0,Sarstedt 96 Well Plate 2200 µL on 7,F8
1,63,"['laji1', 'laji3', 'laji4', 'laji5', 'laji6']",5,24.0,120.0,Sarstedt 96 Well Plate 2200 µL on 7,G8
1,64,"['laji1', 'laji2', 'laji3', 'laji4']",4,30.0,120.0,Sarstedt 96 Well Plate 2200 µL on 7,H8
2,1,"['laji8', 'laji9', 'laji10', 'laji11', 'laji12']",5,24.0,120.0,Sarstedt 96 Well Plate 2200 µL on 7,A9
2,2,"['laji7', 'laji9', 'laji12']",3,40.0,120.0,Sarstedt 96 Well Plate 2200 µL on 7,B9
2,3,['laji12'],1,120.0,120.0,Sarstedt 96 Well Plate 2200 µL on 7,C9
2,4,"['laji7', 'laji8', 'laji9', 'laji10', 'laji11', 'laji12']",6,20.0,120.0,Sarstedt 96 Well Plate 2200 µL on 7,D9
2,5,"['laji7', 'laji11', 'laji12']",3,40.0,120.0,Sarstedt 96 Well Plate 2200 µL on 7,E9
2,6,"['laji7', 'laji9', 'laji11']",3,40.0,120.0,Sarstedt 96 Well Plate 2200 µL on 7,F9
2,7,"['laji8', 'laji10', 'laji12']",3,40.0,120.0,Sarstedt 96 Well Plate 2200 µL on 7,G9
2,8,"['laji8', 'laji9', 'laji10', 'laji11']",4,30.0,120.0,Sarstedt 96 Well Plate 2200 µL on 7,H9
2,9,"['laji9', 'laji10', 'laji12']",3,40.0,120.0,Sarstedt 96 Well Plate 2200 µL on 7,A10
2,10,"['laji9', 'laji10', 'laji11']",3,40.0,120.0,Sarstedt 96 Well Plate 2200 µL on 7,B10
2,11,"['laji8', 'laji9', 'laji10', 'laji12']",4,30.0,120.0,Sarstedt 96 Well Plate 2200 µL on 7,C10
