species,source_plate,source_well,starting_volume_ul
laji1,Bio-Rad 96 Well Plate 200 µL PCR on 11,A1,1000.0
laji1,Bio-Rad 96 Well Plate 200 µL PCR on 11,B1,1000.0
laji1,Bio-Rad 96 Well Plate 200 µL PCR on 11,C1,1000.0
laji2,Bio-Rad 96 Well Plate 200 µL PCR on 11,E1,1000.0
laji2,Bio-Rad 96 Well Plate 200 µL PCR on 11,F1,1000.0
laji2,Bio-Rad 96 Well Plate 200 µL PCR on 11,G1,1000.0
laji3,Bio-Rad 96 Well Plate 200 µL PCR on 11,A2,1000.0
laji3,Bio-Rad 96 Well Plate 200 µL PCR on 11,B2,1000.0
laji3,Bio-Rad 96 Well Plate 200 µL PCR on 11,C2,1000.0
laji4,Bio-Rad 96 Well Plate 200 µL PCR on 11,E2,1000.0
laji4,Bio-Rad 96 Well Plate 200 µL PCR on 11,F2,1000.0
laji4,Bio-Rad 96 Well Plate 200 µL PCR on 11,G2,1000.0
laji5,Bio-Rad 96 Well Plate 200 µL PCR on 11,A3,1000.0
laji5,Bio-Rad 96 Well Plate 200 µL PCR on 11,B3,1000.0
laji5,Bio-Rad 96 Well Plate 200 µL PCR on 11,C3,1000.0
laji6,Bio-Rad 96 Well Plate 200 µL PCR on 11,E3,1000.0
laji6,Bio-Rad 96 Well Plate 200 µL PCR on 11,F3,1000.0
laji6,Bio-Rad 96 Well Plate 200 µL PCR on 11,G3,1000.0
laji7,Bio-Rad 96 Well Plate 200 µL PCR on 11,A4,1000.0
laji7,Bio-Rad 96 Well Plate 200 µL PCR on 11,B4,1000.0
laji7,Bio-Rad 96 Well Plate 200 µL PCR on 11,C4,1000.0
laji8,Bio-Rad 96 Well Plate 200 µL PCR on 11,E4,1000.0
laji8,Bio-Rad 96 Well Plate 200 µL PCR on 11,F4,1000.0
laji8,Bio-Rad 96 Well Plate 200 µL PCR on 11,G4,1000.0
laji9,Bio-Rad 96 Well Plate 200 µL PCR on 11,A5,1000.0
laji9,Bio-Rad 96 Well Plate 200 µL PCR on 11,B5,1000.0
laji9,Bio-Rad 96 Well Plate 200 µL PCR on 11,C5,1000.0
laji10,Bio-Rad 96 Well Plate 200 µL PCR on 11,E5,1000.0
laji10,Bio-Rad 96 Well Plate 200 µL PCR on 11,F5,1000.0
laji10,Bio-Rad 96 Well Plate 200 µL PCR on 11,G5,1000.0
laji11,Bio-Rad 96 Well Plate 200 µL PCR on 11,A6,1000.0
laji11,Bio-Rad 96 Well Plate 200 µL PCR on 11,B6,1000.0
laji11,Bio-Rad 96 Well Plate 200 µL PCR on 11,C6,1000.0
laji12,Bio-Rad 96 Well Plate 200 µL PCR on 11,E6,1000.0
laji12,Bio-Rad 96 Well Plate 200 µL PCR on 11,F6,1000.0
laji12,Bio-Rad 96 Well Plate 200 µL PCR on 11,G6,1000.0
laji13,Bio-Rad 96 Well Plate 200 µL PCR on 11,A7,1000.0
laji13,Bio-Rad 96 Well Plate 200 µL PCR on 11,B7,1000.0
laji13,Bio-Rad 96 Well Plate 200 µL PCR on 11,C7,1000.0
laji14,Bio-Rad 96 Well Plate 200 µL PCR on 11,E7,1000.0
laji14,Bio-Rad 96 Well Plate 200 µL PCR on 11,F7,1000.0
laji14,Bio-Rad 96 Well Plate 200 µL PCR on 11,G7,1000.0
laji15,Bio-Rad 96 Well Plate 200 µL PCR on 11,A8,1000.0
laji15,Bio-Rad 96 Well Plate 200 µL PCR on 11,B8,1000.0
laji15,Bio-Rad 96 Well Plate 200 µL PCR on 11,C8,1000.0
laji16,Bio-Rad 96 Well Plate 200 µL PCR on 11,E8,1000.0
laji16,Bio-Rad 96 Well Plate 200 µL PCR on 11,F8,1000.0
laji16,Bio-Rad 96 Well Plate 200 µL PCR on 11,G8,1000.0
laji17,Bio-Rad 96 Well Plate 200 µL PCR on 11,A9,1000.0
laji17,Bio-Rad 96 Well Plate 200 µL PCR on 11,B9,1000.0
laji17,Bio-Rad 96 Well Plate 200 µL PCR on 11,C9,1000.0
laji18,Bio-Rad 96 Well Plate 200 µL PCR on 11,E9,1000.0
laji18,Bio-Rad 96 Well Plate 200 µL PCR on 11,F9,1000.0
laji18,Bio-Rad 96 Well Plate 200 µL PCR on 11,G9,1000.0
CONTROL_BLOCK_1,Bio-Rad 96 Well Plate 200 µL PCR on 11,A10,1000.0
CONTROL_BLOCK_1,Bio-Rad 96 Well Plate 200 µL PCR on 11,B10,1000.0
CONTROL_BLOCK_1,Bio-Rad 96 Well Plate 200 µL PCR on 11,C10,1000.0
CONTROL_BLOCK_2,Bio-Rad 96 Well Plate 200 µL PCR on 11,E10,1000.0
CONTROL_BLOCK_2,Bio-Rad 96 Well Plate 200 µL PCR on 11,F10,1000.0
CONTROL_BLOCK_2,Bio-Rad 96 Well Plate 200 µL PCR on 11,G10,1000.0
CONTROL_BLOCK_3,Bio-Rad 96 Well Plate 200 µL PCR on 11,A11,1000.0
CONTROL_BLOCK_3,Bio-Rad 96 Well Plate 200 µL PCR on 11,B11,1000.0
CONTROL_BLOCK_3,Bio-Rad 96 Well Plate 200 µL PCR on 11,C11,1000.0
